,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,icu_patients,hosp_patients,weekly_hosp_admissions,daily_case_change_rate,daily_death_change_rate,hospitalization_rate,icu_rate,case_fatality_rate,7day_avg_new_cases,7day_avg_new_deaths
total_cases,1.0009803921568632,-0.09800139220136692,0.9818485071388597,-0.3877602739928877,1.0009803921568627,0.981848504438677,-0.6106378182739821,-0.3944441174975399,-0.3354236622212179,-0.6398728290884893,-0.6713753386401288,-0.7503647498544709,-0.7603104219029739,-0.883101672016321,-0.09845246596679279,-0.4709738971228118
new_cases,-0.09800139220136692,1.000980392156863,-0.07554557306065501,0.6034547628060297,-0.09800139213782737,-0.07554556491761143,0.5540390252216589,0.7083782027252264,0.7496440326670104,0.5815887555061662,0.34706970496753997,0.20861558823062373,0.12822988656276646,-0.03794411769580079,0.8663261202867248,0.4516026192889202
total_deaths,0.9818485071388597,-0.07554557306065501,1.0009803921568625,-0.37711659645629425,0.981848507113573,1.000980392156812,-0.5788268706677506,-0.37798508830604155,-0.3239380755137626,-0.7028261104144307,-0.7290093105770229,-0.8340045300060227,-0.8436357558515499,-0.9256573912976802,-0.07826846525371334,-0.4564098092851195
new_deaths,-0.3877602739928877,0.6034547628060297,-0.37711659645629425,1.0009803921568619,-0.3877602739128064,-0.37711660177190887,0.7205958492341284,0.7025572569718588,0.6633445171233113,0.5788974222946704,0.7885282512020616,0.4420351784159283,0.3775477202251075,0.18355627956879084,0.48078947320148285,0.8109179931585899
total_cases_per_million,1.0009803921568627,-0.09800139213782737,0.981848507113573,-0.3877602739128064,1.0009803921568625,0.9818485044133907,-0.6106378182085364,-0.39444411741752755,-0.3354236621414056,-0.6398728289848998,-0.671375338540005,-0.7503647497619133,-0.7603104218193876,-0.883101671995049,-0.09845246592378659,-0.4709738970380771
total_deaths_per_million,0.981848504438677,-0.07554556491761143,1.000980392156812,-0.37711660177190887,0.9818485044133907,1.0009803921568625,-0.5788268651226741,-0.3779850834982233,-0.3239380702387633,-0.702826110443356,-0.7290093154425886,-0.834004530668632,-0.8436357554207803,-0.925657388887058,-0.07826845655024947,-0.4564098110973883
icu_patients,-0.6106378182739821,0.5540390252216589,-0.5788268706677506,0.7205958492341284,-0.6106378182085364,-0.5788268651226741,1.0009803921568627,0.9439632154945191,0.900372071539305,0.6996657277726579,0.7203268862254221,0.6366598254975084,0.5645201440401731,0.3580386310718502,0.6419951383838145,0.8624582817256807
hosp_patients,-0.3944441174975399,0.7083782027252264,-0.37798508830604155,0.7025572569718588,-0.39444411741752755,-0.3779850834982233,0.9439632154945191,1.0009803921568623,0.9918790709148086,0.6792236172128355,0.6328826508244486,0.5257174280007908,0.42454459225550273,0.14874162888908984,0.8210616201079655,0.8344761474326132
weekly_hosp_admissions,-0.3354236622212179,0.7496440326670104,-0.3239380755137626,0.6633445171233113,-0.3354236621414056,-0.3239380702387633,0.900372071539305,0.9918790709148086,1.0009803921568627,0.6737291632649074,0.5833929175731044,0.48345447421728466,0.3745120538586526,0.09631170697800073,0.8628227898032519,0.7769067996412008
daily_case_change_rate,-0.6398728290884893,0.5815887555061662,-0.7028261104144307,0.5788974222946704,-0.6398728289848998,-0.702826110443356,0.6996657277726579,0.6792236172128355,0.6737291632649074,1.0009803921568625,0.8362702416181841,0.8855124961129173,0.8290522484046147,0.6136614739339731,0.5236895344527803,0.5568586729850263
daily_death_change_rate,-0.6713753386401288,0.34706970496753997,-0.7290093105770229,0.7885282512020616,-0.671375338540005,-0.7290093154425886,0.7203268862254221,0.6328826508244486,0.5833929175731044,0.8362702416181841,1.000980392156863,0.8561314168412641,0.8111896540866335,0.5917748623395281,0.30332559884828614,0.7439003824084868
hospitalization_rate,-0.7503647498544709,0.20861558823062373,-0.8340045300060227,0.4420351784159283,-0.7503647497619133,-0.834004530668632,0.6366598254975084,0.5257174280007908,0.48345447421728466,0.8855124961129173,0.8561314168412641,1.0009803921568627,0.9870927693385095,0.7984097253405483,0.23307539675203046,0.5236614065493806
icu_rate,-0.7603104219029739,0.12822988656276646,-0.8436357558515499,0.3775477202251075,-0.7603104218193876,-0.8436357554207803,0.5645201440401731,0.42454459225550273,0.3745120538586526,0.8290522484046147,0.8111896540866335,0.9870927693385095,1.000980392156863,0.8594183566276445,0.142286105372047,0.4493223069888604
case_fatality_rate,-0.883101672016321,-0.03794411769580079,-0.9256573912976802,0.18355627956879084,-0.883101671995049,-0.925657388887058,0.3580386310718502,0.14874162888908984,0.09631170697800073,0.6136614739339731,0.5917748623395281,0.7984097253405483,0.8594183566276445,1.0009803921568627,-0.05708919948296974,0.22298097676317527
7day_avg_new_cases,-0.09845246596679279,0.8663261202867248,-0.07826846525371334,0.48078947320148285,-0.09845246592378659,-0.07826845655024947,0.6419951383838145,0.8210616201079655,0.8628227898032519,0.5236895344527803,0.30332559884828614,0.23307539675203046,0.142286105372047,-0.05708919948296974,1.0009803921568627,0.5555889489416622
7day_avg_new_deaths,-0.4709738971228118,0.4516026192889202,-0.4564098092851195,0.8109179931585899,-0.4709738970380771,-0.4564098110973883,0.8624582817256807,0.8344761474326132,0.7769067996412008,0.5568586729850263,0.7439003824084868,0.5236614065493806,0.4493223069888604,0.22298097676317527,0.5555889489416622,1.0009803921568625
